theta,v,,,,,
-0.27820710973725200,80.50359712230200,,,,,
7.233384853168470,103.23741007194200,,,,,
16.27511591962910,139.74820143884900,,,,,
24.760432766615100,182.5539568345320,,,,,
32.82843894899540,225.3597122302160,,,,,
40.479134466769700,287.05035971223000,,,,,
47.43431221020090,370.1438848920860,,,,,
52.16383307573420,443.1654676258990,,,,,
56.47604327666150,516.1870503597120,,,,,
61.06646058732610,584.1726618705040,,,,,
65.23956723338490,633.2733812949640,,,,,
69.96908809891810,659.7122302158270,,,,,
75.95054095826890,660.9712230215830,,,,,
84.71406491499230,657.1942446043170,,,,,
91.53013910355490,652.158273381295,,,,,
