1025.803738317757, -18.244767952711882
1025.8317757009345, -18.949876188193947
1025.9158878504672, -19.430585510024763
1026, -19.793773464334215
1026.1682242990653, -20.18895279175653
1026.392523364486, -20.552040897835294
1026.785046728972, -20.95774422877227
1027.2056074766356, -21.26727374390926
1027.822429906542, -21.576663471523286
1028.5794392523364, -21.85390206885534
1029.5887850467288, -22.130960939372155
1030.7102803738317, -22.365204888569377
1031.8878504672896, -22.556673855739277
1033.2056074766356, -22.74804297467849
1034.5233644859813, -22.90736081156642
1035.8691588785045, -23.045291157440694
1037.5233644859813, -23.183001837207446
