-11934.711643090317, -24.12162162162162
-10498.367791077259, -23.93243243243243
-9062.023939064202, -23.72972972972973
-7125.13601741023, -23.472972972972972
-5166.485310119697, -23.2027027027027
-3425.4624591947777, -22.87837837837838
-2315.5603917301432, -22.56756756756757
-1510.3373231773676, -22.243243243243242
-1031.5560391730141, -21.93243243243243
-574.5375408052241, -21.41891891891892
-356.9096844396081, -21.04054054054054
-204.5701849836787, -20.513513513513512
-100.5701849836787, -20.0
-50., -19.5
-25,-19.0
15,-19.0
30, -19.5
70.0, -20.0
165.39717083786672, -20.513513513513512
361.26224156691933, -21.054054054054053
600.652883569097, -21.513513513513512
1014.1458106637638, -21.972972972972972
1645.2665941240484, -22.45945945945946
2646.354733405875, -22.91891891891892
4147.9869423286145, -23.39189189189189
5910.772578890097, -23.7972972972973
8021.762785636558, -24.12162162162162
9958.650707290533, -24.256756756756758
